"/reference_point/position[3]_x","/reference_point/position[3]_y","/reference_point/position[0]_x","/reference_point/position[0]_y","/joint_states/position[3]_x","/joint_states/position[3]_y"
-494258.6097,0,-494258.6097,0,-494258.643,-0.03857772636,
-494258.5764,0,-494258.5764,0,-494258.6097,-0.03641282558,
-494258.543,0,-494258.543,0,-494258.5764,-0.03723752117,
-494258.5097,0,-494258.5097,0,-494258.543,-0.03744369507,
-494258.4764,0,-494258.4764,0,-494258.5097,-0.03826839066,
-494258.443,0,-494258.443,0,-494258.4764,-0.03692818546,
-494258.4097,0,-494258.4097,0,-494258.443,-0.03929926014,
-494258.3764,0,-494258.3764,0,-494258.4097,-0.03837155247,
-494258.343,0,-494258.343,0,-494258.3764,-0.03672201157,
-494258.3097,0,-494258.3097,0,-494258.343,-0.03847456455,
-494258.2764,0,-494258.2764,0,-494258.3097,-0.04053645325,
-494258.243,0,-494258.243,0,-494258.2764,-0.03899007416,
-494258.2097,0,-494258.2097,0,-494258.243,-0.03878390026,
-494258.1764,0,-494258.1764,0,-494258.2097,-0.03899007416,
-494258.143,0,-494258.143,0,-494258.1764,-0.03826839066,
-494258.1097,0,-494258.1097,0,-494258.143,-0.03899007416,
-494258.0764,0,-494258.0764,0,-494258.1097,-0.03888691235,
-494258.043,0,-494258.043,0,-494258.0764,-0.03857772636,
-494258.0097,0,-494258.0097,0,-494258.043,-0.03806221676,
-494257.9764,0,-494257.9764,0,-494258.0097,-0.03775288105,
-494257.943,0,-494257.943,0,-494257.9764,-0.03713435936,
-494257.9097,0,-494257.9097,0,-494257.943,-0.03682517338,
-494257.8764,0,-494257.8764,0,-494257.9097,-0.03703134727,
-494257.843,0,-494257.843,0,-494257.8764,-0.03816537857,
-494257.8097,0,-494257.8097,0,-494257.843,-0.03816537857,
-494257.7764,0,-494257.7764,0,-494257.8097,-0.03692818546,
-494257.743,0,-494257.743,0,-494257.7764,-0.03764986897,
-494257.7097,0,-494257.7097,0,-494257.743,-0.03785604286,
-494257.6764,0,-494257.6764,0,-494257.7097,-0.03795920467,
-494257.643,0,-494257.643,0,-494257.6764,-0.04022711754,
-494257.6097,0,-494257.6097,0,-494257.643,-0.03826839066,
-494257.5764,0,-494257.5764,0,-494257.6097,-0.03857772636,
-494257.543,0,-494257.543,0,-494257.5764,-0.03878390026,
-494257.5097,0,-494257.5097,0,-494257.543,-0.03826839066,
-494257.4763,0,-494257.4763,0,-494257.5097,-0.03723752117,
-494257.443,0,-494257.443,0,-494257.4763,-0.03857772636,
-494257.4097,0,-494257.4097,0,-494257.443,-0.03692818546,
-494257.3764,0,-494257.3764,0,-494257.4097,-0.03847456455,
-494257.343,0,-494257.343,0,-494257.3764,-0.03826839066,
-494257.3097,0,-494257.3097,0,-494257.343,-0.03857772636,
-494257.2764,0,-494257.2764,0,-494257.3097,-0.03723752117,
-494257.243,0,-494257.243,0,-494257.2764,-0.03754670715,
-494257.2097,0,-494257.2097,0,-494257.243,-0.03981476974,
-494257.1764,0,-494257.1764,0,-494257.2097,-0.03981476974,
-494257.143,0,-494257.143,0,-494257.1764,-0.03940242195,
-494257.1097,0,-494257.1097,0,-494257.143,-0.03703134727,
-494257.0763,0,-494257.0763,0,-494257.1097,-0.03630966377,
-494257.043,0,-494257.043,0,-494257.0763,-0.03754670715,
